Co-occurring conditions,Any co-occurring condition included in the study,Behavioral or conduct problems,Anxiety,Depression,Tourette syndrome (TS),Learning disability,Developmental delay,Speech/language disorder,Autism spectrum disorder (ASD),Intellectual disability
Overall,77.9,44.1,39.1,18.9,1,36.5,21.7,14.8,14.4,4.4
Boys,75.9,48.1,31.7,13.8,1,35,22.2,16.1,16.7,4.6
Girls,81.7,36.6,52.8,28.6,1,39.3,20.9,12.5,10.2,4
